sample;Total_Nitrogen_mgL;Total_Phosphor_ugL;Temp_C;cyanobacteria_relBio;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Cryptophyceae_relBio
ROT190130A;0.8278;27.4;3.573005455;0.036700686;7.281652299;0.344092868;83.99657324;0.197290123;8.143690782
ROT190213A;0.7768;22.6;4.048325;0.003349065;9.805043634;11.96769521;52.46284431;2.536844086;23.2242237
ROT190227A;0.6508;19.3;#NV;0;56.12308771;9.323771763;14.82099861;10.65439322;9.077748691
ROT190313A;0.7523;21.7;6.160917241;0;14.83611118;38.18969495;31.78650632;4.809265461;10.37842208
ROT190327A;0.643;22.5;8.390285714;0;14.4082632;53.96532463;15.93093756;0.199545142;15.49592947
ROT190410A;0.6145;18;14.05418675;0.629807682;8.229644176;74.69651608;8.941568282;0;7.502463779
ROT190424A;0.588;14.4;14.05487273;7.177268705;12.83434227;11.57726683;28.94316708;26.31197007;13.15598504
ROT190508A;0.59;8.3;12.64679464;9.243505753;13.73814413;0;12.21168367;0;64.80666645
ROT190522A;0.6562;18.4;13.72979412;0.881575757;6.972880941;14.84139174;62.49802284;0;14.80612871
ROT190604A;0.67455;10.35;20.43936852;0;16.62735243;73.15445726;2.432265661;2.77117774;5.014746906
ROT190619A;0.6255;14.8;21.19372093;3.172062899;16.71076268;18.37871888;14.08707934;0;47.6513762
ROT190717A;0.4537;9.3;23.40343793;7.499311504;40.84784387;17.56113997;0.566937458;2.494524817;31.03024238
ROT190729A;0.3374;16.6;24.88541481;3.429841713;21.0379104;15.46703034;0.592044365;0;59.47317318
ROT190814A;0.0814;14.5;#NV;30.75324448;30.08310854;0;11.39232381;20.09937158;7.67195159
ROT190911A;0.0224;27.5;#NV;49.34120829;21.22251594;8.685371292;10.61125797;0;10.1396465
ROT190925A;0.0063;13.19;24.88541481;37.90508852;12.17695773;25.69276376;5.434075151;18.66667037;0.124444469
ROT191009A;0.1426;11.3;16.12652963;45.23177677;10.03085408;27.32539066;5.379754151;0;12.03222435
ROT191023A;0.1346;23;15.78363585;26.52912846;38.87975329;1.68344418;32.90767407;0;0
ROT191106A;0.4532;9.3;13.83960455;24.23197589;0;18.13022968;17.75396716;0;39.88382727
ROT191120A;0.7307;14.6;10.39580126;12.81444735;9.324155089;25.05519856;3.576799339;0;49.22939966
ROT191204A;0.9046;18.1;8.809643478;12.42804037;1.511135756;73.93395943;1.511135756;0;10.61572869
ROT191218A;0.9531;27.7;7.182861905;0;16.91707761;36.066642;10.9672865;0;36.04899389
ROT200107A;0.9395;27;5.764411111;1.051144102;0;65.90673518;7.87133265;0.706323134;24.46446493
ROT200121A;0.8167;28.15;4.882658696;0.462497197;7.963057831;19.88737946;38.38726734;1.271867291;32.02793088
ROT200206B;0.8223;26.42;5.104707792;0.006202665;1.647127537;7.950889023;82.80557339;0;7.590207383
ROT190130B;0.8396;33.1;3.947963441;0;4.386776646;0;85.34962073;0;10.26360262
ROT190213B;0.9646;23.4;4.001064706;0.004861244;5.549977101;13.37763745;65.15781248;0.783970778;15.12574095
ROT190313B;0.7447;20.7;6.160256;0;15.65733223;25.22132868;43.04382916;2.241287264;13.83622266
ROT190327B;0.6051;21;7.86242;0.039147567;10.7189313;49.06102415;23.92747014;2.928745691;13.32468115
ROT190410B;0.5762;41.4;10.39893151;0;9.026670394;64.25847439;7.369182079;0;19.34567314
ROT190424B;0.5566;10.7;8.882679104;0.697758152;13.28968551;15.92883363;37.6789402;5.814651266;26.59013123
ROT190508B;0.6029;9.8;9.059364444;10.48881099;27.87600051;31.10492941;0;0;30.53025909
ROT190522B;0.6831;25.6;12.26930702;3.722461362;1.606478118;6.801380087;74.64721256;0;13.22246787
ROT190604B;0.66435;8.8;14.21915556;0;7.218908023;8.04161808;70.7463802;0;13.9930937
ROT190619B;0.6273;11.4;15.12735778;2.03157701;19.87203436;10.07139419;54.96442906;0;13.06056538
ROT190717B;0.7305;56.3;9.191396154;83.05944807;12.73278417;2.127938838;0;0;2.079828916
ROT190729B;0.6952;32.9;9.701994872;70.91248309;10.06842609;5.011320513;3.581809213;0;10.4259611
ROT190814B;0.0427;17.1;#NV;12.81871252;4.137417033;0.282811943;1.079827418;74.55951216;7.121718921
ROT190911B;0.2329;23.3;13.8;60.97136043;3.066195431;19.40477454;1.505242691;0;15.05242691
ROT190925B;0.4844;31.94;10.87283043;60.76687266;7.837769625;2.577558325;8.943454982;0;19.87434441
ROT191009B;0.5484;28.5;11.87495294;50.73719411;9.300005602;0.359441646;5.660033825;10.97859809;22.96472673
ROT191023B;0.5902;24.57;11.51148889;91.31431311;0.667959969;1.192785659;4.439369941;0;2.385571318
ROT191106B;0.5947;22.2;11.15601538;45.1408269;0;0.963191027;1.765152251;0;52.13082982
ROT191120B;0.7503;11.6;10.02593727;12.29165097;3.569338745;42.83206494;3.895363755;0;37.41158159
ROT191204B;1.6099;55.2;8.877028125;11.07028865;6.844049698;59.72602376;4.322378716;0;18.03725918
ROT191218B;0.9699;27.8;7.179492308;30.5516662;2.650523824;42.8347698;1.457211902;0;22.50582827
ROT200107B;0.9356;29.4;5.771440161;1.487183512;0;47.99637409;22.50572921;0;28.01071319
ROT200121B;0.8527;29.31;4.878642553;0.194063172;3.166293855;32.73157636;30.81518891;0;33.09287771
ROT200206B;0.8319;26.99;5.104707792;0;8.68629036;10.57370886;76.82202777;0.545540546;3.372432465
