sample;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Gymnodinium_helveticum_relBio;Cryptophyceae_relBio;Ciliata_relBio;Rotifera_relBio
ROT-190130A;6.291034045;0.297281422;72.56942246;0.170450172;2.789184625;7.035798176;6.198188056;4.648641042
ROT-190213A;7.056552816;8.612982917;37.75677555;1.82573122;2.120203997;16.71414909;25.91360441;0
ROT-190227A;50.94221243;8.463068965;13.45283181;9.670857128;2.637506489;8.239756953;6.593766224;0
ROT-190313A;10.8875631;28.02572105;23.32670529;3.529306333;1.301793319;7.616263038;25.31264788;0
ROT-190327A;12.52770042;46.92178443;13.85163572;0.173500562;0.709775026;13.47340477;5.244448806;7.097750264
ROT-190410A;7.725179302;70.11773142;8.393463526;0;0;7.042573976;1.680262944;5.040788831
ROT-190424A;3.005808108;2.711400536;6.778501339;6.162273945;0;3.081136972;78.2608791;0
ROT-190508A;11.32709276;0;10.0685269;0;0;53.43306311;25.17131724;0
ROT-190522A;3.734426035;7.948519443;33.47170927;0;0;7.929633823;46.91571143;0
ROT-190611A;16.62735243;73.15445726;2.432265661;2.77117774;0;5.014746906;0;0
ROT-190619A;14.80869604;16.28680072;12.48364782;0;0;42.22756075;8.663439606;5.529855068
ROT-190717A;36.35977519;15.63164762;0.504646429;2.220444286;0;27.62086147;17.66262501;0
ROT-190731A;4.146070494;3.04818287;0.116677827;0;2.565897608;11.7207443;1.425498671;76.97692823
ROT-190814A;22.25531473;0;8.427977167;14.8694022;0;5.675666694;48.77163921;0
ROT-190911A;41.89305592;17.14484495;20.94652796;0;0;20.01557116;0;0
ROT-190925A;19.61023447;41.37660099;8.751240676;30.06151377;0;0.200410092;0;0
ROT-191009A;18.31509858;49.8927828;9.822765526;0;0;21.9693531;0;0
ROT-191023A;10.3644918;0.448769396;8.772466111;0;0;0;80.41427269;0
ROT-191106A;0;12.63472216;12.37250968;0;47.1982457;27.79452247;0;0
ROT-191120A;5.421568713;14.56844929;2.079744835;0;49.3055982;28.62463896;0;0
ROT-191204A;1.725593173;84.42652162;1.725593173;0;0;12.12229204;0;0
ROT-191218A;8.511059716;18.14529383;5.517692387;0;0;18.13641498;49.68953909;0
ROT-200107A;0;50.28958094;6.006154293;0.538953938;0;18.66740457;24.49790626;0
ROT-200121A;4.951584366;12.36635967;23.86995007;0.79087184;12.94153919;19.91559087;25.16410399;0
ROT-200206A;1.647229709;7.95138222;82.81070986;0;0;7.590678207;0;0
ROT-190130B;3.722346272;0;72.4223885;0;2.931524389;8.709055883;7.328810973;4.885873982
ROT-190213B;2.968781317;7.155935853;34.85407108;0.419359892;4.574835187;8.091027462;41.93598921;0
ROT-190313B;9.563004597;15.40439192;26.28981298;1.368907557;1.484357591;8.450728323;37.43879703;0
ROT-190327B;7.641101762;34.97366181;17.05694618;2.087786856;2.505344227;9.498637676;26.23652148;0
ROT-190410B;7.852071733;55.8968178;6.410264669;0;3.002892733;16.82831062;10.00964244;0
ROT-190424B;6.335039801;7.593091271;17.96111621;2.771777193;0;12.67520887;2.771777193;49.89198947
ROT-190508B;31.14247595;34.74976677;0;0;0;34.10775728;0;0
ROT-190522B;1.343850468;5.689487896;62.443858;0;0;11.06085382;19.46194981;0
ROT-190611B;3.722612824;4.14686411;36.48216342;0;0;7.215893301;48.43246635;0
ROT-190619B;5.487365693;2.781065186;15.17760673;0;0;3.606480197;65.88804843;7.059433761
ROT-190717B;34.5321635;5.771112654;0;0;0;5.640635324;54.05608852;0
ROT-190731B;32.13034913;15.99211995;11.43026522;0;0;33.27131444;7.17595126;0
ROT-190814B;4.432073234;0.302953082;1.156729949;79.86944888;0;7.628909428;6.609885425;0
ROT-190911B;7.85627033;49.71932088;3.856764435;0;0;38.56764435;0;0
ROT-190925B;19.97742764;6.569851807;22.7956719;0;0;50.65704866;0;0
ROT-191009B;18.07281789;0.698507472;10.99921494;21.33484778;0;44.62764237;4.266969556;0
ROT-191023B;7.690352849;13.73277294;51.11132832;0;0;27.46554589;0;0
ROT-191106B;0;0.30931523;0.56685378;0;6.80224536;16.74108164;75.580504;0
ROT-191120B;0.328328818;3.939945816;0.35831852;0;0;3.441337806;0;91.93206904
ROT-191204B;7.696021491;67.16093289;4.860443884;0;0;20.28260173;0;0
ROT-191218B;3.816540555;61.6786141;2.098267622;0;0;32.40657772;0;0
ROT-200107B;0;43.13226563;20.2249255;0;11.47079234;25.17201653;0;0
ROT-200121B;1.202873253;12.43470743;11.70667292;0;0;12.57196561;38.80236299;23.2814178
ROT-200206B;8.476105841;10.31785397;74.96314437;0.532339954;0;3.290828804;2.419727062;0
