sample;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Cryptophyceae_relBio
ROT-190130A;7.284325697;0.344219199;84.02741188;0.197362557;8.14668067
ROT-190213A;9.805372022;11.96809603;52.46460138;2.536929049;23.22500152
ROT-190227A;56.12308771;9.323771763;14.82099861;10.65439322;9.077748691
ROT-190313A;14.83611118;38.18969495;31.78650632;4.809265461;10.37842208
ROT-190327A;14.4082632;53.96532463;15.93093756;0.199545142;15.49592947
ROT-190410A;8.281803611;75.16994215;8.998239888;0;7.55001435
ROT-190424A;13.82672336;12.47244793;31.18111984;28.34647258;14.17323629
ROT-190508A;15.13736757;0;13.45543784;0;71.40719459
ROT-190522A;7.034898904;14.97339355;63.05389066;0;14.93781689
ROT-190611A;16.62735243;73.15445726;2.432265661;2.77117774;5.014746906
ROT-190619A;17.25820376;18.98080186;14.5485691;0;49.21242529
ROT-190717A;44.15950253;18.98487487;0.612900798;2.696763513;33.54595829
ROT-190731A;21.78510502;16.01636635;0.613071756;0;61.58545687
ROT-190814A;43.44334737;0;16.45177991;29.0257232;11.07914953
ROT-190911A;41.89305592;17.14484495;20.94652796;0;20.01557116
ROT-190925A;19.61023447;41.37660099;8.751240676;30.06151377;0.200410092
ROT-191009A;18.31509858;49.8927828;9.822765526;0;21.9693531
ROT-191023A;52.91859546;2.291308304;44.79009623;0;0
ROT-191106A;0;23.92860299;23.43200495;0;52.63939207
ROT-191120A;10.69461029;28.73778716;4.102513811;0;56.46508873
ROT-191204A;1.725593173;84.42652162;1.725593173;0;12.12229204
ROT-191218A;16.91707761;36.066642;10.9672865;0;36.04899389
ROT-200107A;0;66.60686936;7.954950644;0.713826479;24.72435351
ROT-200121A;8.000057874;19.97978541;38.56563231;1.277776974;32.17674744
ROT-200206A;1.647229709;7.95138222;82.81070986;0;7.590678207
ROT-190130B;4.386776646;0;85.34962073;0;10.26360262
ROT-190213B;5.550246912;13.3782878;65.16098012;0.78400889;15.12647628
ROT-190313B;15.65733223;25.22132868;43.04382916;2.241287264;13.83622266
ROT-190327B;10.72312914;49.08023787;23.93684083;2.929892673;13.32989949
ROT-190410B;9.026670394;64.25847439;7.369182079;0;19.34567314
ROT-190424B;13.38306695;16.04075934;37.94369543;5.855508554;26.77696972
ROT-190508B;31.14247595;34.74976677;0;0;34.10775728
ROT-190522B;1.668590765;7.0643477;77.533362;0;13.73369953
ROT-190611B;7.218908023;8.04161808;70.7463802;0;13.9930937
ROT-190619B;20.28412192;10.28024529;56.1042297;0;13.3314031
ROT-190717B;75.16156633;12.56121316;0;0;12.27722051
ROT-190731B;34.6142509;17.2284232;12.31390505;0;35.84342085
ROT-190814B;4.745762712;0.324395235;1.23859999;85.52238023;8.168861836
ROT-190911B;7.85627033;49.71932088;3.856764435;0;38.56764435
ROT-190925B;19.97742764;6.569851807;22.7956719;0;50.65704866
ROT-191009B;18.87835139;0.729641032;11.489467;22.28577501;46.61676556
ROT-191023B;7.690352849;13.73277294;51.11132832;0;27.46554589
ROT-191106B;0;1.755751996;3.217606376;0;95.02664163
ROT-191120B;4.069554135;48.83464962;4.441269044;0;42.6545272
ROT-191204B;7.696021491;67.16093289;4.860443884;0;20.28260173
ROT-191218B;3.816540555;61.6786141;2.098267622;0;32.40657772
ROT-200107B;0;48.72094393;22.84548347;0;28.4335726
ROT-200121B;3.172450413;32.7952198;30.87510612;0;33.15722367
ROT-200206B;8.68629036;10.57370886;76.82202777;0.545540546;3.372432465
