sample;cyanobacteria_relBio;green.algae_relBio;Chrysophyta_relBio;Diatoms_relBio;Dinoflagellates_relBio;Gymnodinium_helveticum_relBio;Cryptophyceae_relBio;Ciliata_relBio;Rotifera_relBio
ROT-190130A;0.031697762;6.289039928;0.29718719;72.54641958;0.170396143;2.788300516;7.033567985;6.196223369;4.647167527
ROT-190213A;0.002410217;7.056382737;8.612775325;37.75586553;1.825687216;2.120152896;16.71374624;25.91297984;0
ROT-190227A;0;50.94221243;8.463068965;13.45283181;9.670857128;2.637506489;8.239756953;6.593766224;0
ROT-190313A;0;10.8875631;28.02572105;23.32670529;3.529306333;1.301793319;7.616263038;25.31264788;0
ROT-190327A;0;12.52770042;46.92178443;13.85163572;0.173500562;0.709775026;13.47340477;5.244448806;7.097750264
ROT-190410A;0.587726765;7.679776356;69.70563075;8.344132894;0;0;7.001182884;1.670387589;5.011162766
ROT-190424A;1.653131406;2.95611815;2.666577522;6.666443805;6.060403459;0;3.030201729;76.96712393;0
ROT-190508A;7.08156114;10.52495776;0;9.355518008;0;0;49.64916807;23.38879502;0
ROT-190522A;0.469921804;3.716877153;7.911167617;33.31441841;0;0;7.892370745;46.69524427;0
ROT-190611A;0;16.62735243;73.15445726;2.432265661;2.77117774;0;5.014746906;0;0
ROT-190619A;2.734152372;14.40380373;15.84149477;12.14232586;0;0;41.0729949;8.426567966;5.378660404
ROT-190717A;6.257623164;34.08451748;14.65347801;0.473067557;2.08149725;0;25.89245205;16.55736449;0
ROT-190731A;0.671401744;4.118233704;3.027717317;0.11589445;0;2.548670126;11.64205102;1.415927848;76.46010379
ROT-190814A;18.53432001;18.13044348;0;6.865908908;12.11345961;0;4.623720466;39.73214753;0
ROT-190911A;49.34120829;21.22251594;8.685371292;10.61125797;0;0;10.1396465;0;0
ROT-190925A;37.90508852;12.17695773;25.69276376;5.434075151;18.66667037;0;0.124444469;0;0
ROT-191009A;45.23177677;10.03085408;27.32539066;5.379754151;0;0;12.03222435;0;0
ROT-191023A;6.604975842;9.679919625;0.419128286;8.193046844;0;0;0;75.1029294;0
ROT-191106A;14.44725012;0;10.80935225;10.58502226;0;40.37939709;23.77897828;0;0
ROT-191120A;6.934335375;5.045618956;13.55822416;1.935528353;0;45.88658267;26.63971049;0;0
ROT-191204A;12.42804037;1.511135756;73.93395943;1.511135756;0;0;10.61572869;0;0
ROT-191218A;0;8.511059716;18.14529383;5.517692387;0;0;18.13641498;49.68953909;0
ROT-200107A;0.795684759;0;49.88943441;5.958364238;0.534665563;0;18.51887087;24.30298015;0
ROT-200121A;0.286765053;4.937384953;12.33089728;23.80149939;0.788603896;12.90442738;19.85847992;25.09194213;0
ROT-200206A;0.006202665;1.647127537;7.950889023;82.80557339;0;0;7.590207383;0;0
ROT-190130B;0;3.722346272;0;72.4223885;0;2.931524389;8.709055883;7.328810973;4.885873982
ROT-190213B;0.002600298;2.96870412;7.155749777;34.85316477;0.419348987;4.574716227;8.090817071;41.93489875;0
ROT-190313B;0;9.563004597;15.40439192;26.28981298;1.368907557;1.484357591;8.450728323;37.43879703;0
ROT-190327B;0.027898965;7.638969974;34.96390452;17.05218747;2.087204385;2.504645262;9.495987654;26.22920177;0
ROT-190410B;0;7.852071733;55.8968178;6.410264669;0;3.002892733;16.82831062;10.00964244;0
ROT-190424B;0.331510615;6.314038472;7.567919368;17.9015732;2.762588457;0;12.63318921;2.762588457;49.72659222
ROT-190508B;10.48881099;27.87600051;31.10492941;0;0;0;30.53025909;0;0
ROT-190522B;3.019875699;1.303267854;5.517672434;60.55813111;0;0;10.72682978;18.87422312;0
ROT-190611B;0;3.722612824;4.14686411;36.48216342;0;0;7.215893301;48.43246635;0
ROT-190619B;0.557860132;5.456753868;2.765550732;15.09293691;0;0;3.586361082;65.52048528;7.020051994
ROT-190717B;69.25562831;10.6166967;1.774292325;0;0;0;1.73417789;16.61920478;0
ROT-190731B;69.35296416;9.846999613;4.901110733;3.503037479;0;0;10.19667166;2.199216354;0
ROT-190814B;12.07371113;3.896957515;0.266375402;1.017069717;70.22624234;0;6.707816941;5.811826952;0
ROT-190911B;60.97136043;3.066195431;19.40477454;1.505242691;0;0;15.05242691;0;0
ROT-190925B;60.76687266;7.837769625;2.577558325;8.943454982;0;0;19.87434441;0;0
ROT-191009B;49.64708336;9.100190924;0.351718885;5.538425529;10.74271812;0;22.47131956;2.148543623;0
ROT-191023B;91.31431311;0.667959969;1.192785659;4.439369941;0;0;2.385571318;0;0
ROT-191106B;12.66096417;0;0.270152939;0.495084626;0;5.941015512;14.62149929;66.01128347;0
ROT-191120B;1.118017551;0.324658044;3.89589653;0.354312456;0;0;3.402863045;0;90.90425237
ROT-191204B;11.07028865;6.844049698;59.72602376;4.322378716;0;0;18.03725918;0;0
ROT-191218B;30.5516662;2.650523824;42.8347698;1.457211902;0;0;22.50582827;0;0
ROT-200107B;1.318841614;0;42.56341936;19.95819077;0;11.31951076;24.8400375;0;0
ROT-200121B;0.073670177;1.201987094;12.42554676;11.69804859;0;0;12.56270382;38.77377723;23.26426634
ROT-200206B;0;8.476105841;10.31785397;74.96314437;0.532339954;0;3.290828804;2.419727062;0
