sample;cyanobacteria_um3L;green.algae_um3L;Chrysophyta_um3L;Diatoms_um3L;Dinoflagellates_um3L;Cryptophyceae_um3L;Ciliata_um3L;Rotifera_um3L;Gymnodinium_helveticum_um3L
ROT-190130A;862500;171125550;8086500;1973997000;4636500;191384250;168600000;126450000;75870000
ROT-190213A;86250;252513750;308209500;1351099500;65332500;598104000;927300000;0;75870000
ROT-190227A;0;1465393800;243447000;386981550;278190000;237023250;189675000;0;75870000
ROT-190313A;0;317269800;816685500;679753500;102846000;221942250;737625000;0;37935000
ROT-190327A;0;669561900;2507805750;740321625;9273000;720106500;280297500;379350000;37935000
ROT-190410A;14830500;193788900;1758928500;210553050;0;176665500;42150000;126450000;0
ROT-190424A;11497500;20559750;18546000;46365000;42150000;21075000;535305000;0;0
ROT-190508A;6381000;9483750;0;8430000;0;44737500;21075000;0;0
ROT-190522A;5175000;40932000;87121500;366874050;0;86914500;514230000;0;0
ROT-190611A;0;126452175;556344750;18497550;21075000;38137500;0;0;0
ROT-190619A;64278750;338627250;372426750;285460875;0;965608500;198105000;126450000;0
ROT-190717A;92925000;506151250;217602500;7025000;30910000;384500000;245875000;0;0
ROT-190731A;16655500;102161250;75108750;2875000;0;288805000;35125000;1896750000;63225000
ROT-190814A;537433575;525722500;0;199088500;351250000;134072500;1152100000;0;0
ROT-190911A;293989450;126450000;51750000;63225000;0;60415000;0;0;0
ROT-190925A;641932700;206220000;435113750;92027500;316125000;2107500;0;0;0
ROT-191009A;158293230;35104000;95628000;18827000;0;42108000;0;0;0
ROT-191023A;135920000;199197500;8625000;168600000;0;0;1545500000;0;0
ROT-191106A;45242250;0;33850000;33147500;0;74465000;0;0;126450000
ROT-191120A;15287200;11123400;29890000;4267000;0;58729000;0;0;101160000
ROT-191204A;37831800;4600000;225060000;4600000;0;32315000;0;0;0
ROT-191218A;0;249230000;531350000;161575000;0;531090000;1455062500;0;0
ROT-200107A;11500000;0;721050000;86116000;7727500;267652500;351250000;0;0
ROT-200121A;2810000;48381250;120830000;233230000;7727500;194592500;245875000;0;126450000
ROT-200206A;70250;18655000;90050000;937837500;0;85965000;0;0;0
ROT-190130B;0;96337050;0;1874344500;0;225396750;189675000;126450000;75870000
ROT-190213B;86250;98469750;237351000;1156054050;13909500;268366500;1390950000;0;151740000
ROT-190313B;0;488794050;787365000;1343751750;69969000;431942250;1913610000;0;75870000
ROT-190327B;1690215;462795000;2118233250;1033080000;126450000;575299500;1589055000;0;151740000
ROT-190410B;0;198387600;1412268750;161959425;0;425178000;252900000;0;75870000
ROT-190424B;2529000;48168000;57733500;136566000;21075000;96375000;21075000;379350000;0
ROT-190508B;8760900;23283750;25980750;0;0;25500750;0;0;0
ROT-190522B;37092000;16007550;67771500;743812800;0;131753625;231825000;0;0
ROT-190611B;0;72084000;80299125;706434000;0;139727250;937837500;0;0
ROT-190619B;30145680;294872400;149445000;815593050;0;193800000;3540600000;379350000;0
ROT-190717B;2693264400;412870000;69000000;0;0;67440000;646300000;0;0
ROT-190731B;1550748750;220181250;109590000;78328750;0;228000000;49175000;0;0
ROT-190814B;350256075;113050000;7727500;29505000;2037250000;194592500;168600000;0;0
ROT-190911B;569109300;28620000;181125000;14050000;0;140500000;0;0;0
ROT-190925B;1220025025;157360000;51750000;179559000;0;399020000;0;0;0
ROT-191009B;1623289175;297545000;11500000;181087500;351250000;734735000;70250000;0;0
ROT-191023B;5378024500;39340000;70250000;261460000;0;140500000;0;0;0
ROT-191106B;269479000;0;5750000;10537500;0;311207500;1405000000;0;126450000
ROT-191120B;14515100;4215000;50580000;4600000;0;44179000;0;1180200000;0
ROT-191204B;65104600;40250000;351250000;25420000;0;106077500;0;0;0
ROT-191218B;66278250;5750000;92925000;3161250;0;48823750;0;0;0
ROT-200107B;14732750;0;475475000;222952500;0;277487500;0;0;126450000
ROT-200121B;1334750;21777500;225125000;211944250;0;227610000;702500000;421500000;0
ROT-200206B;0;123040000;149775000;1088172500;7727500;47770000;35125000;0;0
